client_id,age,income,employment_years,loan_amount,credit_history_length,num_credit_lines,late_payments,region,has_dependents,default
1,59,38526,0,17308,6,4,5,South,0,0
2,49,37408,4,12849,5,7,0,East,0,0
3,35,37948,10,16317,4,7,1,East,1,0
4,63,61962,9,13341,13,6,1,South,1,0
5,28,26863,14,14778,2,7,0,North,0,0
6,41,36321,28,5204,12,1,1,South,0,0
7,59,58039,24,9471,12,9,0,West,0,0
8,39,36124,5,19082,12,6,0,East,0,0
9,43,28770,10,12079,4,8,2,North,0,0
10,31,43156,16,3884,5,5,2,West,0,0
11,31,49667,14,4579,12,7,1,East,1,0
12,44,35285,15,8195,2,3,1,West,1,0
13,56,46652,1,3251,10,1,2,South,0,0
14,60,23480,18,5640,1,7,1,East,1,1
15,44,24147,20,19740,7,5,1,West,1,1
16,23,34718,10,16993,7,1,1,West,0,0
17,42,47080,2,13815,8,9,1,West,0,0
18,22,49137,33,11123,10,9,2,North,0,0
19,44,25815,17,10200,6,6,0,East,1,1
20,64,48693,14,13904,1,9,2,South,1,0
21,50,41998,24,19462,8,7,2,South,1,0
22,58,29449,14,3714,2,8,0,South,1,0
23,22,23989,29,7947,12,2,1,West,1,0
24,41,42757,16,2338,3,2,2,West,1,1
25,53,55474,17,13782,8,4,0,South,0,0
26,32,40426,30,7614,4,1,2,West,0,1
27,42,28780,17,1741,5,8,2,North,0,0
28,64,17583,34,1733,9,5,1,East,1,0
29,45,58353,12,14944,11,7,1,East,1,0
30,47,52502,13,2806,7,2,1,North,0,0
31,62,43624,17,14285,10,5,3,East,1,0
32,48,57735,4,11570,12,9,2,North,1,0
33,36,42687,13,12457,7,9,1,North,0,0
34,35,33627,24,2753,1,2,1,North,0,0
35,64,46661,11,8358,1,2,4,North,1,0
36,23,30043,27,15587,8,5,1,South,0,1
37,57,28052,34,6857,10,3,2,North,0,0
38,27,49259,0,2024,1,1,1,North,1,0
39,41,50269,2,10674,10,1,0,West,1,0
40,29,24715,6,4554,2,5,1,West,1,1
41,59,25158,8,10971,4,3,3,South,1,0
42,38,34659,22,12908,9,9,1,North,0,0
43,24,31464,23,5566,7,3,2,North,0,0
44,45,45717,9,15022,13,3,0,South,0,0
45,34,40576,11,12157,13,3,0,North,0,0
46,29,53978,18,11952,12,1,3,East,0,1
47,46,43807,31,7894,7,3,0,North,1,1
48,22,32265,23,8082,12,5,1,South,0,1
49,40,17306,21,12946,10,8,1,North,1,0
50,48,42153,2,3629,7,7,1,North,0,0
51,27,19476,26,7661,5,4,1,South,0,1
52,64,32116,18,7275,1,4,3,South,0,0
53,28,31339,8,11227,5,4,2,East,0,0
54,55,33898,12,14674,8,8,4,East,1,1
55,34,24207,1,2719,12,8,1,East,0,0
56,37,31296,28,10233,12,2,0,East,0,0
57,56,53750,10,4487,7,7,3,South,1,0
58,60,53717,33,6844,7,5,0,East,1,0
59,24,58389,3,9751,2,2,1,East,1,1
60,22,40121,3,12416,1,3,0,South,0,0
61,26,43254,0,7462,4,7,3,North,1,0
62,62,53927,24,19184,8,6,2,North,0,0
63,24,22352,25,11003,14,6,1,North,0,1
64,49,49667,10,16498,1,7,2,North,1,0
65,38,55628,22,5262,13,6,1,West,0,0
66,46,29332,1,1146,2,2,2,North,0,0
67,64,56591,18,13732,7,8,1,West,1,0
68,54,64692,28,3117,5,7,2,South,0,0
69,30,49334,3,6447,6,6,3,East,1,0
70,56,47134,15,11855,12,5,2,East,0,0
71,34,26562,26,1318,8,6,1,West,1,0
72,51,52830,4,13161,12,3,0,East,1,0
73,35,27692,14,13323,9,2,2,North,1,0
74,28,44436,22,6749,8,9,2,South,0,0
75,34,45653,2,1254,12,1,0,North,0,0
76,43,5000,17,10528,14,2,0,West,0,0
77,60,44869,25,9526,1,1,1,South,1,0
