age,income,employment_years,loan_amount,credit_history_length,num_credit_lines,late_payments,region,has_dependents,default_probability,predicted_default,true_default
38,45082,10,8385,13,2,3,West,1,0.08290288325502117,0,0
34,45824,16,3861,11,3,1,North,0,0.07238782870524733,0,1
39,50342,12,1329,4,2,1,East,1,0.08107810773466534,0,0
37,46961,31,17526,11,1,0,West,1,0.346389689455577,0,0
54,61069,19,3772,1,3,0,East,0,0.01164668082069142,0,0
49,58839,18,5778,6,9,0,West,1,0.022466515391740962,0,0
54,44284,12,3062,4,2,2,South,0,0.05728867547480886,0,0
44,32468,10,8590,13,3,2,North,1,0.14896189840761634,0,0
61,41257,34,9985,8,6,1,South,1,0.0672696127644037,0,1
60,29641,23,6303,8,5,1,South,1,0.20023530125246097,0,1
25,41084,10,8171,12,7,2,South,1,0.2214320229550208,0,0
62,22320,16,9496,13,4,0,East,1,0.3704930876020655,0,0
35,22095,17,16402,1,9,4,West,1,0.5029395544311711,1,1
37,24910,20,4490,3,2,1,North,0,0.16192705321583947,0,0
64,21487,15,19278,9,4,1,West,0,0.09418224507642252,0,1
61,48839,27,3632,13,8,0,North,0,0.015783463156081996,0,0
42,29009,28,14497,12,6,1,North,1,0.2813311673774993,0,0
22,27922,4,15135,5,7,2,North,1,0.5044045629474372,1,1
34,50894,19,7236,1,2,1,South,1,0.0811651878379295,0,0
44,41822,23,12430,11,3,1,East,0,0.18962456717923826,0,0
28,46949,20,19586,10,2,2,West,0,0.08973238467943699,0,0
39,36652,32,4569,8,5,1,North,1,0.13785932088345326,0,0
60,47726,21,2280,1,2,2,East,1,0.130911768982613,0,0
52,44927,32,11275,10,4,1,East,1,0.18942599534280316,0,1
33,18801,28,19202,13,8,2,North,1,0.45855422441158533,0,1
33,25531,9,18319,7,7,0,South,0,0.37065296430232647,0,0
53,39412,33,14441,9,2,0,East,0,0.051653022273782254,0,1
43,52004,29,10415,10,4,1,East,0,0.17621926321596212,0,0
23,46731,8,11992,4,7,1,West,0,0.26219031421156286,0,1
46,42957,16,1460,8,6,0,North,0,0.04913323561941617,0,0
38,55199,32,9984,9,3,1,South,0,0.06894484394757781,0,0
35,33505,12,17449,4,9,1,South,1,0.333252337212802,0,0
34,39245,12,8557,10,2,2,West,0,0.14592536080314114,0,0
29,37529,32,4808,8,4,2,North,0,0.16164186245095377,0,0
59,18563,10,6044,3,8,1,North,1,0.2805054874360741,0,0
58,39034,25,16304,12,8,1,North,0,0.13392769615310982,0,0
25,50431,5,11533,12,4,1,West,0,0.06261459989733387,0,0
45,52109,23,17771,10,5,0,South,0,0.14916942085654608,0,0
40,39777,24,10181,13,2,2,North,1,0.1409993415071828,0,0
44,34135,22,17663,10,5,0,North,1,0.2936280873884989,0,0
43,38093,32,7927,6,8,0,South,0,0.06750633283945136,0,0
